Disease,Description1,Description2,"https://www.upmc.com/services/division-infectious-diseases/conditions/fungal-infections, https://www.bupa.co.uk/health-information/healthy-skin/fungal-skin-infections, https://www.medicalnewstoday.com/articles/317970"
Hypertension,"Hypertension, also known as high blood pressure, is a condition in which the blood pressure is consistently elevated. This can increase the risk of heart disease, stroke, and other health problems.","Hypertension, or high blood pressure, is a common condition where the force of blood against artery walls is consistently too high, increasing the risk of heart disease and stroke. It often has no symptoms but can be diagnosed through regular blood pressure monitoring. Treatment includes lifestyle changes such as diet and exercise, along with medications like diuretics and ACE inhibitors to lower blood pressure and protect vital organs.",https://www.usa.gov/agencies/centers-for-disease-control-and-prevention
Migraine,"Migraine is a type of headache characterized by throbbing pain, often on one side of the head. It can also be accompanied by nausea, vomiting, and sensitivity to light and sound.","Migraine is a neurological disorder characterized by recurrent headaches that can cause severe throbbing pain, often accompanied by nausea, vomiting, and sensitivity to light or sound. Triggers may include stress, certain foods, hormonal changes, and environmental factors. Diagnosis is based on medical history and symptom evaluation. Treatment options include over-the-counter pain relievers, prescription medications for acute attacks, and preventive treatments for frequent migraines.",https://www.mayoclinic.org/diseases-conditions/tuberculosis/diagnosis-treatment/drc-20351256
Cervical spondylosis,"Cervical spondylosis is a degenerative condition of the cervical spine, characterized by wear and tear of the intervertebral discs. This can lead to neck pain, stiffness, and nerve compression.","Cervical spondylosis is a degenerative condition affecting the cervical spine (neck) due to age-related wear and tear on the discs and vertebrae. Symptoms may include neck pain, stiffness, and headaches, with potential nerve compression causing numbness or weakness in the arms. Diagnosis involves physical examination and imaging studies like X-rays or MRIs. Treatment focuses on pain management through physical therapy, medications, and lifestyle modifications.",
Paralysis (brain hemorrhage),Paralysis caused by a brain hemorrhage is a condition in which there is a loss of muscle function due to damage to the brain caused by bleeding.,"Paralysis resulting from a brain hemorrhage occurs when bleeding in or around the brain damages surrounding tissues and disrupts normal function. Symptoms can include sudden weakness or numbness on one side of the body, difficulty speaking, or loss of coordination. Diagnosis typically involves imaging studies like CT scans or MRIs. Treatment may include emergency interventions to stop bleeding and rehabilitation therapies to regain lost functions.",
Jaundice,"Jaundice is a condition characterized by a yellowish discoloration of the skin, eyes, and mucous membranes. It occurs when there is an excessive buildup of bilirubin, a pigment produced by the breakdown of red blood cells, in the blood. Bilirubin is normally processed by the liver and excreted in the feces.
","Jaundice is a condition characterized by yellowing of the skin and eyes due to elevated bilirubin levels in the blood. It can result from liver disease, bile duct obstruction, or hemolysis (breakdown of red blood cells). Diagnosis involves blood tests to measure bilirubin levels and assess liver function. Treatment depends on the underlying cause; managing liver disease or relieving bile duct obstructions can help reduce jaundice.",
Malaria,"Malaria is a life-threatening parasitic disease transmitted through the bite of an infected female Anopheles mosquito. The parasite, Plasmodium, travels through the bloodstream to the liver, where it multiplies and then invades red blood cells. This causes a variety of symptoms, including fever, chills, headache, muscle aches, and fatigue.","Malaria, a disease caused by four species of Plasmodium parasites (Plasmodium falciparum, Plasmodium vivax, Plasmodium ovale, and Plasmodium malariae), involves a complex life cycle. It begins with the infective stage of the parasite, known as sporozoite, which is injected into the bloodstream by a mosquito. Following this, the parasite undergoes an asexual cycle, multiplying first in the liver and then invading red blood cells, where it continues to multiply. Finally, some parasites develop into gametocytes, which can be taken up by another mosquito, thus transmitting the infection to a new host. This intricate life cycle highlights the complexity of the malaria parasite's interaction with both humans and mosquitoes.",
Chicken pox,"Chickenpox is a highly contagious viral infection caused by the varicella-zoster virus. It is characterized by a rash of itchy, fluid-filled blisters that appear on the skin. Chickenpox is typically mild in healthy children but can be severe in adults and people with weakened immune systems.","Chicken pox is a highly contagious viral infection caused by the varicella-zoster virus, characterized by an itchy rash with blisters, fever, and fatigue. It primarily affects children but can occur in adults who have not been vaccinated or previously infected. Diagnosis is usually based on clinical appearance of the rash. Treatment focuses on symptom relief through antihistamines for itching and fever reducers; vaccination can prevent infection.",
Dengue,"Dengue is a viral infection transmitted by the Aedes aegypti and Aedes albopictus mosquitoes. It is characterized by a sudden onset of fever, headache, muscle and joint pain, and a rash. In severe cases, dengue can lead to dengue hemorrhagic fever (DHF) and dengue shock syndrome (DSS).","Dengue is caused by four closely related dengue viruses: DENV-1, DENV-2, DENV-3, and DENV-4. The virus is transmitted by the Aedes aegypti and Aedes albopictus mosquitoes, which breed in stagnant water. Once infected, a person can develop dengue fever or, in severe cases, dengue hemorrhagic fever (DHF) or dengue shock syndrome (DSS).",
Typhoid,"Typhoid is a bacterial infection caused by Salmonella typhi. It is transmitted through contaminated food or water. Typhoid fever is characterized by a high fever, headache, constipation or diarrhea, abdominal pain, and a rash. In severe cases, typhoid can lead to complications such as intestinal bleeding and perforation.","Typhoid is caused by Salmonella typhi, a gram-negative bacterium. The bacteria are transmitted through contaminated food or water, often by fecal-oral transmission. Once ingested, the bacteria invade the intestinal lining and spread throughout the bloodstream.",
hepatitis A,"Hepatitis A is an acute, self-limiting liver infection caused by the hepatitis A virus (HAV). It is transmitted through contaminated food or water, or by direct contact with an infected person.","Hepatitis A is a highly contagious viral infection that causes liver inflammation, primarily spread through the fecal-oral route, often via contaminated food or water. Symptoms typically appear 2 to 6 weeks after exposure and can include fatigue, nausea, abdominal pain, jaundice, and dark urine. Most individuals recover fully without long-term liver damage, although severe cases can lead to acute liver failure. Diagnosis is confirmed through blood tests detecting antibodies to the hepatitis A virus. Vaccination is an effective preventive measure, especially for those traveling to areas where the virus is common.",
Hepatitis B,"Hepatitis B is a viral infection that can cause both acute and chronic liver disease. It is transmitted through blood, semen, or other body fluids.","Hepatitis B is a viral infection that attacks the liver and can cause both acute and chronic diseases. It spreads through contact with infectious body fluids, such as blood and semen, often through unprotected sex or sharing needles. Symptoms may include jaundice, fatigue, abdominal pain, and dark urine; however, many people remain asymptomatic. Diagnosis is made through blood tests that detect the virus or antibodies. Treatment may involve antiviral medications for chronic cases, and vaccination is available to prevent infection.",
Hepatitis C,"Hepatitis C is a viral infection that can cause both acute and chronic liver disease. It is transmitted through blood, semen, or other body fluids.","Hepatitis C is a viral infection that primarily affects the liver and can lead to chronic liver disease. It is mainly transmitted through blood-to-blood contact, often through sharing needles or other equipment to inject drugs. Many individuals do not exhibit symptoms until significant liver damage occurs. Diagnosis involves blood tests to detect the virus and assess liver function. Treatment typically includes direct-acting antiviral medications that can cure most infections.",
Hepatitis D,"Hepatitis D is a viral infection that can only occur in people who are also infected with hepatitis B. It is transmitted through blood, semen, or other body fluids.","Hepatitis D is a viral infection that occurs only in those infected with hepatitis B, as it requires the hepatitis B virus for its replication. It spreads through contact with infectious body fluids similar to hepatitis B. Symptoms can be similar to those of hepatitis B but may lead to more severe liver disease. Diagnosis is confirmed through blood tests detecting hepatitis D antibodies or the virus itself. There is no specific treatment for hepatitis D; management focuses on controlling hepatitis B.",
Hepatitis E,"Hepatitis E is an acute, self-limiting liver infection caused by the hepatitis E virus (HEV). It is transmitted through contaminated food or water.","Hepatitis E is a viral infection that causes liver inflammation and is primarily transmitted through the fecal-oral route, often due to contaminated drinking water. Symptoms typically appear 2 to 10 weeks after exposure and may include jaundice, fatigue, nausea, and abdominal pain. Most cases are self-limiting and resolve without treatment; however, it can be severe in pregnant women or individuals with pre-existing liver conditions. Diagnosis involves blood tests for antibodies or viral RNA detection.",
Alcoholic hepatitis,Alcoholic hepatitis is a liver inflammation caused by excessive alcohol consumption. It is a serious condition that can lead to liver failure if not treated.," Alcoholic hepatitis is an inflammatory condition of the liver resulting from excessive alcohol consumption over time. Symptoms include jaundice, abdominal pain, nausea, and fever. Diagnosis is based on medical history, physical examination, and blood tests indicating liver function impairment. Treatment involves abstaining from alcohol, nutritional support, and medications such as corticosteroids in severe cases.",
Tuberculosis,Tuberculosis is a chronic bacterial infection that typically affects the lungs. It is caused by the Mycobacterium tuberculosis bacterium and is transmitted through the air.,"Tuberculosis is a bacterial infection caused by Mycobacterium tuberculosis, primarily affecting the lungs but can also impact other parts of the body. It spreads through airborne droplets when an infected person coughs or sneezes. Symptoms include a persistent cough, chest pain, weight loss, night sweats, and fever. Diagnosis typically involves skin tests or blood tests followed by chest X-rays or sputum analysis. Treatment requires a lengthy course of antibiotics over several months.",
Common Cold,"The common cold is a mild, self-limiting respiratory infection caused by a variety of viruses. It is characterized by symptoms such as runny nose, sneezing, sore throat, and cough.","The common cold is a contagious upper respiratory infection primarily caused by viruses, with the rhinovirus being the most prevalent. Symptoms typically include a runny or stuffy nose, sore throat, sneezing, coughing, and a general feeling of being unwell. These symptoms usually develop gradually over 1 to 3 days and can last from a few days up to two weeks. While there is no cure for the common cold, treatment focuses on relieving symptoms through rest, hydration, and over-the-counter medications like decongestants and pain relievers. Preventive measures include frequent handwashing and avoiding close contact with infected individuals.The common cold is caused by a variety of viruses, including rhinoviruses, and adenoviruses. These viruses infect the cells in the lining of the nose and throat, causing inflammation and symptoms such as runny nose, sneezing, sore throat, and cough.",
Pneumonia,"Pneumonia is an inflammation of the lungs, often caused by an infection. It can be caused by bacteria, viruses, fungi, or other pathogens. Pneumonia can be severe and life-threatening, especially in infants, the elderly, and people with weakened immune systems.","Pneumonia can be caused by a variety of pathogens. These include bacteria such as Streptococcus pneumoniae, Haemophilus influenzae, and Staphylococcus aureus. Additionally, viruses like Influenza, respiratory syncytial virus (RSV), and adenovirus can also lead to pneumonia. Fungi such as Histoplasma capsulatum, Blastomyces dermatitis, and Coccidioides immitis are also potential causes of pneumonia. When a pathogen infects the lungs, it can cause inflammation and fluid buildup. This can make it difficult to breathe and result in the symptoms commonly associated with pneumonia.",
Dimorphic hemmorhoids(piles),"Hemorrhoids are swollen veins in the lower rectum and anus. They can be internal or external, and can cause pain, itching, and bleeding.","Hemorrhoids are swollen veins in the lower rectum and anus. They can be caused by various factors such as straining during bowel movements, which can increase pressure on the veins in the rectum and anus. Chronic constipation or diarrhea can also irritate the veins and lead to inflammation. Additionally, pregnancy can contribute to hemorrhoids due to the increased pressure on the veins during this time.Dimorphic hemorrhoids are swollen veins in the lower rectum or anus that can cause discomfort and bleeding. They are classified into internal and external hemorrhoids based on their location. Symptoms include itching, pain during bowel movements, and rectal bleeding. Diagnosis is usually made through physical examination and sometimes imaging studies. Treatment options range from lifestyle changes and over-the-counter medications to more invasive procedures like rubber band ligation or surgical removal in severe cases.",
Heart attack,"A heart attack occurs when a blood clot blocks the flow of blood to the heart muscle. This can cause chest pain, shortness of breath, and other symptoms. If not treated promptly, a heart attack can lead to heart damage or death.","A heart attack occurs when blood flow to a part of the heart is blocked, often due to a blood clot in a coronary artery, leading to damage or death of heart muscle tissue. Common symptoms include chest pain or discomfort, shortness of breath, nausea, and lightheadedness. Diagnosis is confirmed through electrocardiograms (ECGs) and blood tests for cardiac enzymes. Immediate treatment involves restoring blood flow through medications like aspirin or thrombolytics and may include surgical interventions such as angioplasty or stenting .",
Varicose veins,"Varicose veins are enlarged, twisted veins that often appear as blue or purple bulges under the skin. They are more common in the legs, but can also occur in other parts of the body.","Varicose veins are enlarged veins that often appear swollen and raised, commonly affecting the legs. They occur when valves in the veins fail to function properly, causing blood to pool. Symptoms include aching pain, heaviness in the legs, and visible bulging veins. Diagnosis is typically made through physical examination and ultrasound imaging. Treatment options range from lifestyle changes and compression stockings to minimally invasive procedures like sclerotherapy or laser therapy for more severe cases.",
Hypothyroidism,"Hypothyroidism is a condition in which the thyroid gland does not produce enough thyroid hormone. This can lead to a variety of symptoms, including fatigue, weight gain, and cold intolerance. ","Hypothyroidism is often caused by an autoimmune disorder called Hashimoto's thyroiditis, or by damage to the thyroid gland due to surgery, radiation, or medication.",
Hyperthyroidism,"Hyperthyroidism is a condition in which the thyroid gland produces too much thyroid hormone. This can lead to symptoms such as weight loss, rapid heartbeat, and anxiety. ","Hypothyroidism is a condition where the thyroid gland does not produce enough thyroid hormones, leading to a slowdown of metabolic processes. Symptoms may include fatigue, weight gain, cold intolerance, dry skin, and depression. Diagnosis is confirmed through blood tests measuring thyroid-stimulating hormone (TSH) and thyroxine levels. Treatment typically involves daily use of synthetic thyroid hormone replacement therapy to normalize hormone levels .
",
Hypoglycemia,"Hypoglycemia is a condition in which blood sugar levels are abnormally low. It can cause symptoms such as dizziness, sweating, and confusion.","Hypoglycemia refers to abnormally low blood sugar levels that can cause symptoms such as shakiness, sweating, confusion, irritability, and fainting. It often occurs in individuals with diabetes who take insulin or other glucose-lowering medications but can also affect those without diabetes due to various factors like prolonged fasting or excessive alcohol consumption. Diagnosis involves measuring blood glucose levels during symptomatic episodes. Treatment typically includes consuming fast-acting carbohydrates like glucose tablets or sugary drinks to quickly raise blood sugar levels .",
Osteoarthristis,"Osteoarthritis is a degenerative joint disease characterized by the breakdown of cartilage, the tissue that cushions the ends of bones. This can lead to pain, stiffness, and swelling in the joints.   ","Osteoarthritis is a degenerative joint disease characterized by the breakdown of cartilage in joints, leading to pain and stiffness. Commonly affected areas include the knees, hips, hands, and spine. Symptoms often worsen with activity and improve with rest. Diagnosis is based on medical history and physical examination; imaging studies may be used to assess joint damage. Treatment focuses on pain management through medications such as NSAIDs, physical therapy, lifestyle modifications, and in severe cases, surgical interventions like joint replacement .",
Arthritis,"Arthritis is a general term for a group of diseases that affect the joints. It can cause pain, stiffness, and swelling in the joints. There are many different types of arthritis, including osteoarthritis, rheumatoid arthritis, and gout.","Arthritis encompasses a group of over 100 inflammatory joint diseases that cause pain and stiffness in joints. The most common types are osteoarthritis and rheumatoid arthritis. Symptoms may include swelling, tenderness around joints, decreased range of motion, and fatigue. Diagnosis involves clinical evaluation along with imaging tests such as X-rays or MRIs to assess joint damage. Treatment varies based on type but generally includes medications (e.g., NSAIDs), physical therapy, lifestyle changes, and sometimes surgical options .",
(vertigo) Paroymsal Positional Vertigo,"Vertigo is a sensation of dizziness or spinning. It can be caused by a variety of factors, including inner ear problems, brain disorders, and medications. Paroxysmal positional vertigo (PPV) is a type of vertigo that is triggered by certain head movements. It is caused by small calcium carbonate crystals (otoconia) that become dislodged from their normal position in the inner ear.",BPPV is a common cause of vertigo characterized by brief episodes of dizziness triggered by changes in head position. It occurs when tiny calcium crystals in the inner ear become dislodged and disrupt balance signals sent to the brain. Symptoms include spinning sensations that occur with specific head movements. Diagnosis is typically made through clinical evaluation and specific maneuvers like the Dix-Hallpike test. Treatment often involves repositioning maneuvers such as the Epley maneuver to help relocate the crystals back into place .,
Acne,"Acne is a common skin condition that causes pimples, whiteheads, and blackheads. It is caused by clogged pores and bacteria.","Acne is a common skin condition characterized by the presence of pimples, blackheads, whiteheads, and cysts primarily on the face, back, and shoulders due to clogged hair follicles from oil production and dead skin cells. It often occurs during puberty but can affect individuals at any age. Diagnosis is usually clinical based on the appearance of skin lesions. Treatment options include topical retinoids, benzoyl peroxide products, oral antibiotics for severe cases, hormonal therapies for women, and lifestyle modifications .
",
Urinary tract infection,"A urinary tract infection (UTI) is an infection of the urinary tract, which includes the kidneys, ureters, bladder, and urethra. UTIs are more common in women than men.","A urinary tract infection occurs when bacteria enter the urinary system—typically affecting the bladder (cystitis) or urethra (urethritis)—leading to symptoms such as frequent urination, burning sensation during urination, cloudy urine, and pelvic pain. Diagnosis is confirmed through urine tests detecting bacteria or white blood cells. Treatment usually involves antibiotics to eliminate the infection; drinking plenty of fluids can help flush out bacteria.",
Psoriasis,"Psoriasis is a chronic autoimmune condition that causes red, scaly patches on the skin. It is caused by an overactive immune system.","Psoriasis is a chronic autoimmune skin condition characterized by red patches covered with thick silvery scales due to accelerated skin cell growth. Symptoms may include itching or burning sensations on affected areas like elbows, knees, scalp, or lower back. Diagnosis is primarily clinical based on skin appearance; sometimes a biopsy may be performed for confirmation. Treatment options include topical treatments (corticosteroids), phototherapy (light therapy), systemic medications for severe cases (like methotrexate), and lifestyle modifications .
",
Impetigo,Impetigo is a bacterial skin infection that causes red sores that often rupture and ooze. It is highly contagious and can be spread by contact with infected skin or by sharing personal items.,Impetigo is a highly contagious bacterial skin infection commonly seen in children but can affect individuals of any age; it causes red sores that can rupture and ooze honey-colored crusts primarily around the nose and mouth. The infection spreads through direct contact with sores or contaminated objects. Diagnosis is made based on clinical appearance; laboratory tests may be performed if necessary for confirmation. Treatment typically involves topical antibiotics for mild cases or oral antibiotics for more extensive infections .,
